"time","country","country_code","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
1990,"Grenada","GRD",NA,NA,54.3,NA,NA,3.489,8571.96740286013,NA,70.683,NA,22.3,NA,NA,NA
1990,"Guam","GUM",NA,NA,NA,NA,NA,3.048,NA,NA,72.473,0.999480009078979,NA,NA,NA,NA
1990,"Guatemala","GTM",NA,2499.26051061899,NA,NA,NA,5.48,5561.07068412655,NA,62.473,NA,80.4,0.1,NA,NA
1990,"Guinea","GIN",NA,NA,NA,NA,NA,6.627,1507.19852171108,NA,47.004,NA,232.7,0.6,0.419270008802414,0.090659998357296
1990,"Guinea-Bissau","GNB",NA,NA,NA,NA,NA,6.507,1998.17320635701,NA,47.084,NA,222.8,0.4,NA,NA
1990,"Guyana","GUY",NA,NA,NA,NA,NA,3.069,4818.39307303241,NA,62.415,NA,60.9,0.1,NA,0.721430003643036
1990,"Haiti","HTI",NA,919.936343158622,NA,NA,NA,5.483,3612.81510511011,NA,52.975,NA,144.9,2.2,NA,NA
1990,"Honduras","HND",NA,1433.46322086725,NA,NA,NA,5.291,3912.70204526407,2.8,65.243,NA,58.3,0.4,NA,0.740360021591187
1990,"Hong Kong SAR, China","HKG",NA,NA,NA,NA,NA,1.272,28797.7030873198,NA,77.3804878048781,NA,NA,NA,NA,NA
1990,"Hungary","HUN",NA,NA,NA,NA,NA,1.87,NA,NA,69.3156097560976,1,17.2,NA,1.00337994098663,1.07586002349854
1990,"Iceland","ISL",NA,NA,NA,NA,NA,2.3,NA,NA,78.0363414634146,NA,6.4,0.1,NA,1.24173998832703
1990,"Iran, Islamic Rep.","IRN",NA,NA,NA,NA,NA,4.863,9442.24811639528,5.2,64.367,NA,57.3,0.1,0.818189978599548,NA
1990,"Iraq","IRQ",NA,NA,NA,NA,NA,5.884,7449.47165519372,NA,58.435,NA,54,NA,NA,NA
1990,"Ireland","IRL",NA,17962.0848135594,NA,NA,NA,2.11,26673.9612718503,NA,74.8460731707317,NA,9.1,0.1,1.0483900308609,0.856809973716736
1990,"Isle of Man","IMN",NA,NA,NA,NA,NA,1.924,NA,NA,71.959,NA,NA,NA,NA,NA
1990,"Israel","ISR",NA,NA,NA,NA,NA,2.824,NA,NA,76.6073170731707,NA,11.6,NA,1.04474997520447,0.963660001754761
1990,"Jamaica","JAM",NA,NA,NA,NA,NA,2.854,8692.50223491895,6.1,72.304,NA,28,1.2,NA,NA
1990,"Jordan","JOR",NA,NA,34.9,NA,NA,5.478,8127.6265386227,NA,69.854,NA,36,NA,1.01573002338409,1.11107003688812
1990,"Kazakhstan","KAZ",NA,NA,NA,NA,NA,2.72,13475.6398971693,NA,68.3365853658537,NA,51.7,0.1,NA,NA
1990,"Kenya","KEN",NA,834.386560453522,NA,NA,NA,6.129,3655.36205689276,NA,58.614,NA,102,4.8,NA,NA
1990,"Kiribati","KIR",NA,NA,NA,NA,NA,4.637,2045.27227844342,NA,60.917,NA,91.6,NA,1.01706004142761,NA
1990,"Korea, Dem. People's Rep.","PRK",NA,NA,NA,NA,NA,2.35,NA,NA,70.21,NA,43.4,NA,NA,NA
1990,"Kosovo","XKX",NA,NA,NA,NA,NA,3.647,NA,NA,70.917,NA,104.6,NA,NA,NA
1990,"Kuwait","KWT",NA,NA,NA,NA,NA,3.318,NA,NA,73.281,NA,18,NA,0.949000000953674,1.45009005069733
1990,"Kyrgyz Republic","KGZ",NA,NA,NA,NA,NA,3.63,5158.31756938856,NA,68.2975609756098,NA,64.6,0.1,1.01235997676849,NA
1990,"Lao PDR","LAO",NA,NA,NA,NA,NA,6.084,1939.08623861287,NA,53.713,NA,154.1,0.1,0.771629989147186,0.492190003395081
1990,"Latvia","LVA",NA,NA,NA,NA,NA,2.02,NA,NA,69.2731707317073,NA,16.9,0.1,NA,1.28252995014191
1990,"Lebanon","LBN",NA,1866.02604306831,NA,NA,NA,3.295,5855.80521330475,NA,64.475,NA,32.2,0.1,NA,NA
1990,"Lesotho","LSO",NA,NA,NA,NA,NA,4.759,1265.51634185978,NA,59.398,NA,84.5,1.8,1.22842001914978,1.24790000915527
1990,"Liberia","LBR",NA,NA,NA,NA,NA,6.37,NA,NA,36.688,NA,263.6,1.7,NA,NA
1990,"Libya","LBY",NA,NA,NA,NA,NA,4.966,NA,NA,69.423,NA,41.8,0.1,NA,NA
1990,"Lithuania","LTU",NA,NA,NA,NA,NA,2.03,NA,NA,71.1607317073171,NA,15,0.1,NA,0.696640014648438
