"Country Name","Country Code","DFE","perc_tot_welfare","net_income_pc","contrac_prev","cov_social_insur","cpia_gender_rating","fertility_rate","gdp_pc_ppp","income_share_low20","life_exp_birth","literacy_rate","mortality_rate","hiv_prev","school_enrol_pri_sec","school_enrol_tert"
"Cyprus","CYP",0.002678155,NA,18275.6270019531,NA,NA,NA,1.80145,32284.5877929687,8.71666666666667,76.51075,1.00081998109818,7.09,0.1,1.00856421495739,1.08743302226067
"Czechia","CZE",0.155745988,NA,9981.69013276008,76.425,NA,NA,1.374,26101.2279151323,9.81,74.5287317073171,NA,6.72,NA,1.01374099552631,1.02150699496269
"Germany","DEU",0.032824574,NA,28093.2786716688,62.9333333333333,NA,NA,1.338,41934.6953356965,8.63157894736842,77.6226963414634,NA,5.8,NA,0.977131661441591,0.800063331921895
"Djibouti","DJI",6.796847046,NA,NA,13.4,NA,2.8,4.7091,NA,6,56.92905,NA,99.925,2.09,0.763458121567965,0.79390749707818
"Denmark","DNK",0,NA,36830.4349515744,76.5,NA,NA,1.7705,46733.2619781287,9.9,76.5487073170732,NA,5.95,0.1,1.01834166712231,1.21720844193509
"Dominican Republic","DOM",0.078705435,25.7778014166434,3686.95849285741,65.4285714285714,5.11181134022978,NA,2.89175,8879.00445135622,4.10769230769231,69.61165,1.02085000276566,43.36,1.155,1.03248000144959,1.32280999422073
"Algeria","DZA",0.03922294,NA,2144.5141798433,58,NA,NA,3.09265,9187.03385403583,7,70.0968,0.939453343550364,41.57,0.1,0.933248416373605,1.22863600254059
"Ecuador","ECU",0.336468818,34.1981853382813,3358.89276967304,65.2666666666667,7.25530477723842,NA,3.1436,8845.40479043463,3.43333333333333,72.5472,0.998201258480549,33.315,0.23,1.00852153851436,1.13591003417969
"Egypt, Arab Rep.","EGY",0.012213477,39.2493633715032,2127.22630754998,52.77,21.3040866064956,NA,3.5834,7680.570000752,9.06,67.4126,0.884116649627686,52.25,0.1,0.890354995216642,0.802199092778293
"Eritrea","ERI",7.323482856,NA,NA,8,NA,3.5,5.48085,NA,NA,56.12325,0.855080008506774,94.965,1.295,0.774525001645088,0.168468889262941
"Spain","ESP",0.729193518,NA,19531.4137429091,72.2,NA,NA,1.2705,33433.6415420285,6.71875,79.033243902439,0.999501424176352,6,0.38,1.0359835088253,1.14568050503731
